CO Description,PO/PSO Description,Score (0-3)
Exhibit the basic understanding of non-conventional forming processes,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Understand the basics of Internet of thing and swarm computing pertaining the 4th industrial revolution.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,3
Analyze and choose right inventory ascendance technique.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Estimate the major power required and efficiency of reciprocating air compressor using the principles of thermodynamics.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Demonstrate use of Standard Template Libraries and modules to build file handling/Searching/Sorting applications.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Apply technical cognition to material world industrial / rural situations,Apply their learning to design and develop basic mechanical systems and processes.,3
Design and test plain limit gauges for a given specimen.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Predict natural frequency and mode physique for all uninterrupted systems.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Demonstrate the effect of damping on the plant using the DC position control system.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
"Understand mechanical structures, motor, sensors, and circuit essential for fabricate robots.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",3
Evaluate hardness of different material using dissimilar scale of measurement,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Design an intelligent robot using machine vision and sensors to perform an assigned task.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
"Classify the mechanisms of tool article of clothing, approximation tool life using Taylor ’ s equation under several cutting condition and the applications programme of cut fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
"Identify different types of faults present in various equipments like machine tools, IC Engines, boilers etc.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Calculate the components and resultant of coplanar forces system and Draw free body diagrams to analyze the forces in the given structure,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Select tools required for performing specific job on CNC mill and CNC lathe,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Predict the steady state response of RLC circuits with AC single phase/three phase supply.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Understand Engineer’s responsibilities and ethics.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
Analyze mode frame and decoupling of equation of motion for 2 level of freedom systems.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Correlate the passion discourse methods and the mechanical properties obtained.,Apply their learning to design and develop basic mechanical systems and processes.,3
Make use of Apply constraints to assemble the components using CAD software,Put on their erudition to design and break canonical mechanical systems and processes.,3
Use the basic probability for fitting the Random phenomenon.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
"Evaluate cutting forces using dynamometer, estimate MRR & power consumption under different cutting conditions.",Select fabrication processes and their appropriate parameters for the output of typical engineering ingredient.,3
"Apply separate techniques, search techniques and hashing.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Develop the skills and expertise in report writing.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Recognise the grandness of renewable energy department and solar geometry.,Apply their learning to design and develop basic mechanical systems and processes.,1
Analyze Velocity and Acceleration of various mechanisms.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Analyze the random fluctuations of probability distribution and Rule of Least Squares approximationsfor the give data point.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",1
Find the compressive and crushing strengths of concrete cubes and bricks.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Demonstrate the knowledge of angular measurements and use measuring instruments as per requirements.,"Engineering cognition: Apply the noesis of mathematics, science, engineering fundamental, and an engine room specialism for the root of complex engineering science problems.",2
"Make a afford model by using workshop trades like carpentry, plumbing, House wiring and three d pattern use solid works software system for Additive Manufacturing.","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Certify the capability of comparison of various non - established machining methods,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
Conceptualize the essence of industrial engineering techniques.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,2
"Use TIG, MIG and spot welding machines and experiment with them.",Apply their scholarship to project and develop basic mechanical systems and processes.,1
Understand FE method for solving field problems using energy formulations.,"Engineering knowledge: Apply the knowledge of math, skill, engineering fundamentals, and an engineering specialisation for the root of complex engineering problem.",3
Describe the finishing and super finishing functioning and the model required.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
Analyze the random fluctuations of probability distribution and Principles of Least Squares approximationsfor the given data.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Select gear and gear educate calculate on application.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Determine the turns ration/performance parameters of single-phase transformer,Prize manufacturing processes and their appropriate parameters for the production of typical technology components.,1
"Acquire knowledge in the functionality, performance and testing of hydraulic turbines","Behavior investigations of complex problems: Use research - based noesis and admit design of experiments, analysis and interpretation of information, and synthesis of the selective information to provide valid last.",0
Predict the steady state response of RLC circuits with AC single phase/three phase supply.,"Engineering knowledge: Give the knowledge of mathematics, skill, applied science bedrock, and an engine room specialization for the solution of complex technology problems.",3
Infer the basics of single phase transformer,"Use the concept of mechanical technology in power generation, aerospace, environmental, bio - medical, automotive, sustainable energy system and with suitable safety caution.",3
Utilise the opportunities provide by Rural Developing Programmes.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Learn the various property of fluids,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Utilise the opportunities provided by Rural Development Programme.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Understand the fundamental concepts of Additive manufacturing,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Understand Engineer ’ s responsibilities and ethic.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Determine the vim going in conduit.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Compare various manufacturing processes,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Exhibit the knowledge of Rural Institutions and contributing to Community’s Socio-Economic improvements.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Solve One-Dimension Wave and Heat equations and Two Dimension Laplace equation.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Prepare a Written Paper on the Subject conducted for Intro to the Department.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Shew the knowledge of various Additive Fabrication Processes.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Determine the assorted properties of fluid,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Generate innovative ideas for societal benefit and Nation building.,"Problem analysis: Identify, formulate, inquiry lit, and analyze complex engineering trouble get hold of substantiated conclusion using first precept of mathematics, natural skill, and engineering sciences.",2
See the convergence and divergence of infinite Serial.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Describe the decentralization and cryptological primitives.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Apply know - how of thermodynamics, electrochemistry and rule of fuel cell","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
"Analyze and interpret the types of errors, strain measurement and instrument characteristics.",Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Originate the skills and expertise in report penning.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,3
Describe the stair involved in IoT arrangement design methodology.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Apply effective reading techniques through critical reading exercises to enhance quality of life and to support lifelong learning.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Display the noesis of Rural Institutions and contributing to Community ’ entropy Socio - Economic improvements.,Apply their learning to design and develop basic mechanical systems and processes.,0
"Draw shear military unit, bending minute diagrams for different types of beams and calculate stress and strains due to simple bending.","Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Determine stresses and strains in members subjected to axial loads and temperature changes.,Apply their learning to design and grow basic mechanical organization and processes.,2
Understand the concepts of OOPs.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Survey and study of published literature on the assigned topic.,Select manufacture processes and their appropriate parameters for the production of distinctive engineering components.,1
Describe the decentralisation and cryptographic primitives.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
"Understand types of analyses, stress strain relationships for different materials and characterization of UD lamina.","Advanced tool utilization: Create, select, and apply appropriate technique, resources, and modern engine room and IT tools, including prediction and modeling to complex engineering activities, with an savvy of the limitations.",1
Measure hardness and can correlate with microstructure.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
Examine the overlap and divergence of infinite Series.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Apply technical knowledge to real world industrial/rural situations,"Direct knowledge: Apply the cognition of maths, science, engineering fundamentals, and an engineering differentiation for the solution of complex engine room problems.",1
Identify the canonical chemical substance methods to take apart the core quantitatively & qualitatively.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Analyze seek / screen out proficiency to solve trouble that involve finding and manipulating data.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
"Excuse the application of fuel cellular phone in transport, stationary and portable sphere","Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
Estimate the power required for various types of circular compressors,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Generalise the fundamentals of exclusive phase transformer,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Integrate the methodology and engineering tools adopted for solving the problem.,Use their learning to design and develop basic mechanical system and procedure.,2
"Design a microcontroller and microprocessor with accent on process controllers (Phosphorus, PD, operative and pelvic inflammatory disease) for a mechatronics system","The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Apply dissimilar techniques to quash and prevent Habiliment and corrosion in Industry.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",3
Identify issues in Decision Tree Learning.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",1
Construct an assemblage drawing apply part drawing off of machine constituent.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Conducting preliminary Analysis/Modelling/Simulation/Experiment/Design/Feasibility.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Develop the skills and expertness in report committal to writing.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,3
Know the share of scientist of different earned run average.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
Realise their function as global citizens.,Apply their learning to design and develop basic mechanical systems and processes.,0
Find out the doe loss in conduits.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Display a sense of societal responsibility.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Ascertain the turns ration / performance parameters of unmarried - form transformer,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Determine the extreme values of functions of two variables.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Demonstrate the capability of comparison of versatile non - schematic machining method acting,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Class the various methods used in treatment of h2o for domestic and industrial use.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Understand Engineer’s responsibilities and ethics.,"The railroad engineer and society: Apply conclude inform by the contextual knowledge to valuate societal, health, condom, legal, and cultural issues and the consequent responsibilities relevant to the professional applied science pattern.",3
Understand philosophy of Indian culture.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
"Use TIG, MIG and spot welding machines and experiment with them.","The engineer and society: Apply reasoning informed by the contextual cognition to assess social, health, base hit, legal, and cultural issues and the consequent responsibilities relevant to the professional engine room exercise.",0
Identify unlike handle equipment used in steam industrial plant.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Understand fundamentals of supply chain and information technology key concepts.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Display the knowledge of Rural Institutions and contributing to Community ’ due south Socio - Economical improvements.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Calculate the concentration and amount of various gist use instrumental proficiency.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Examine problems of limited complexity in buckling and dynamic analysis.,"Communication: Communicate effectively on complex engineering bodily function with the technology community and with the society at large, such as, being able to apprehend and write effective report and design software documentation, make in force presentation, and give and receive clear instructions.",3
"Interpret the data types, operators and tokens of Python for solving basic programming solutions.","Somebody and squad work: Function in effect as an individual, and as a member or leader in divers team, and in multidisciplinary stage setting.",0
Understand the basic of Internet of thing and cloud computing pertaining the quaternary industrial revolution.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,3
Demonstrate the design rule for cartesian product development through Additive Fabrication.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Create awareness of Additive manufacturing in various applications.,"Problem analytic thinking: Identify, formulate, research literature, and analyze complex engineering problem strive substantiated conclusion using first principles of maths, natural sciences, and engineering sciences.",1
Infer the basic principle of single stage transformer,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Understand FE method for work out domain problem using energy formulations.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Cypher the solutions of first order one dimensional differential equations.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Understand the working principle of I.C engines and their performance evaluation.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Understand the principles of geothermic and biogas plant.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Contribute for the conservation of bio-diversity.,"Project management and finance: Demonstrate cognition and agreement of the engineering and management principles and apply these to one ’ sulphur own work, as a member and leader in a team, to do projects and in multidisciplinary environments.",0
Find an optimal solution of job defined by using up to the minute Technologies.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
Understand the fundamentals of Internet of things and cloud work out pertaining the fourth industrial revolution.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,3
Apply sorting and search proficiency.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Understand Engine driver ’ s duty and ethics.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
Identify primary persona of an automobile and information technology layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Identify chief part of an automobile and its layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Determine the performance of multi stage reciprocating air compressor.,"Life story - long learning: Recognise the need for, and have the preparation and ability to engage in independent and sprightliness - long learning in the wide context of technical change.",1
Sympathize the dissimilar types of fuel cell,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
Understand the principles of geothermic and biogas plant.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",2
Classify different types of crystals and their imperfections,"Life - farsighted eruditeness: Recognise the need for, and have the preparation and power to engage in main and life - long learning in the unspecific context of technical change.",2
Understand the concepts of Kirchhoff’s laws and their application various theorems to get solution of simple dc circuits.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Use dissimilar solvers based on applications,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Predict the steady state reply of RLC circuit with AC single stage / trine phase angle supply.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
"Illustrate the Environmental Risk Assessment, methods, mitigation and control.","The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Choose suitable manufacturing process for a given component,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Demonstrate the knowledge of angular measurements and use measuring instruments as per requirements.,"Engineer cognition: Utilize the knowledge of mathematics, science, technology fundamentals, and an applied science specialization for the result of complex engineering problems.",2
Describe the finishing and top notch finishing cognitive operation and the framework call for.,Apply their learning to design and develop basic mechanical systems and processes.,2
"Employ the Instant law of thermodynamics to analyze heat pumps, icebox, passion engines and to evaluate entropy changes.",Apply their learning to design and develop basic mechanical systems and processes.,3
Determine the gear and screw thread parameters using profile projector and tool makers’ microscope.,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Describe and develop mathematical models for flow phenomena.,"The technologist and society: Apply reasoning inform by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional applied science exercise.",0
"Analyze respective vista of Demand Analytic thinking, Supply and Demand Forecasting.","Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
Read the importance of alternative power caravan for pollution control.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Understand the sport of prop with orientation and failure theories of UD lamina.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Determine the energy loss in conduits.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Understand Production and Cost relationships to make best use of resources available.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Understand Locomotive engineer ’ s responsibilities and ethics.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
"Review literature to identify the gaps, define the objectives and scope of the work.","Soul and team work: Function effectively as an individual, and as a member or drawing card in diverse teams, and in multidisciplinary settings.",3
Plan and create components of utility using various manufacturing facilities in the laboratory.,"Environs and sustainability: Realise the impact of the professional engineering solutions in societal and environmental contexts, and attest the knowledge of, and involve for sustainable developing.",1
"Explain the application of fuel cell in raptus, stationary and portable sphere","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Analyze shear stress distribution in different sections of beams and find out principal stresses and strains.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Related material failure by fatigue and creep.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Predict the steady dos response of RLC circuit with alternating electric current single phase / triplet phase supplying.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
"Gain an understanding of Rural life, Culture and Social realities.",Apply their learning to design and develop basic mechanical systems and processes.,0
"Find out out stresses and straining in flimsy, thick cylindric shells and capable to calculate critical buckling loads in columns and struts.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Apply efficacious reading techniques through decisive reading employment to enhance timber of life and to support lifelong learning.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
"Apply the conception like extract, repeat and functions to modularize the plan.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
"Communicate effectively, without barriers and understand aspects of technical communication.","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Determine the power output of the Accelerator pedal Turbine and sympathize the work rule of jet and rocket propulsion.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,2
Design an automated system for industrial applications.,Select fabrication cognitive process and their appropriate parameters for the production of typical engineering constituent.,1
Calculate the solutions of first order linear differential equations.,"Job analytic thinking: Identify, formulate, research literature, and analyze complex applied science trouble reaching realize conclusion using maiden principles of mathematics, natural sciences, and engineering science science.",3
Make use of Apply restraint to assemble the factor use CAD software,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
"Apply periodic and preventive upkeep techniques as required for industrial equipments like motors, pump and breeze compressors and machine dick etc.","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Apply efficient reading techniques through critical reading workout to enhance quality of sprightliness and to bear lifelong learning.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
"Apply periodic and preventive maintenance techniques as required for industrial equipments like motors, pumps and air compressors and machine tools etc.","Demeanor investigations of complex problem: Use research - based knowledge and include intention of experiments, analytic thinking and interpretation of datum, and deduction of the information to provide valid conclusions.",2
"Estimate the heat transferee in instance flow over plates, cylinders and flow done tube.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Describe the finish and tiptop finishing operations and the framework require.,Apply their learning to design and develop basic mechanical systems and processes.,2
Evaluate and recommend an in force Cognitive operation Plan and principles of value technology to fresh product development.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Analyze the concepts of cloud storage and demonstrate their use.,"Innovative tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, include prediction and modeling to complex engineering activity, with an understanding of the limitations.",0
Define various term related to fabrication processes,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Present technical know-how and professional skills before the committee.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",2
Infer the basics of exclusive stage transformer,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
"Advance efficiency in writing, distinguish formal from intimate written report and demonstrate advanced writing skills by blueprint schematic reports.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
