Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
CSE23320,CO3,IoT network and connectivity.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO4,"Conduct investigations of complex problem: Use research - based noesis and include design of experiment, analysis and interpretation of information, and synthesis of the information to allow valid conclusions.",2
CSE23304,CO5,Apply effective data point structures to puzzle out specific problems.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO5,Apply effective data social organisation to solve specific trouble.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CS40141,CO5,Analyze the various techniques and puppet used for examine and debugging.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23306,CO3,Analyze functional dependencies and temper the database schema,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CS30144,CO3,Evaluate the components and operation of a memory pecking order and the carrying into action outcome influencing information technology design.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23450,CO4,To fix Data Heart Networking and discuss the challenges encounter without Meshwork Virtualization.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE21310,CO3,Construct pushdown automata and the tantamount context free grammar.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
IT40138,CO3,Apply Genetic algorithms for solving various real-life engineering and societal problems.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CS42175,CO3,Exemplifying and Summarizing the functionality and services of android for mobile application development.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,0
CS40141,CO4,Develop solutions with embedded systems for multidisciplinary scientific problems.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CS30144,CO1,Analyze the basic principles of a computer design and the various performance measures.,PO1,"Engineer noesis: Apply the knowledge of mathematics, science, engineering fundamentals, and an technology specialisation for the result of complex technology problems.",3
CS42175,CO1,Interpreting the fundamental engineering of mobile technology and information technology enhancement.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23450,CO5,Explore resource management in cloud and overview of large information computing surround.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
CSE23306,CO3,Analyze running dependencies and normalize the database outline,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23306,CO1,Understand the fundamental elements of relational database management systems and its Applications,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CSE23312,CO2,"Analyze and understand operating system process scheduling criteria, scheduling algorithms, threading issues, thread scheduling and inter-process communication mechanism.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE21303,CO4,"Analyze and design Java programs using advanced lineament such as AWT, Applet, Swing, and Socket.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",3
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,2
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CI20303,CO1,"Understand AWS heart servicing, security, architecture, pricing, and support.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CS23317,CO5,Explore different recent machine technique.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23304,CO3,Analyze and implement assorted searching and sorting techniques,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PSO3,The power to gain cognition in diverse areas of computer skill and apply for successful vocation entrepreneurship and higher studies.,1
CSE23305,CO2,Analyze the process of data shift while moving through various layers of a computer electronic network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23304,CO4,Implement linear and non - linear data structures.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CI40136,CO1,"Use suitable process model for software development, and carry out requirement engineering process.",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE21303,CO4,Create a C++ Program that uses concepts of polymorphism.,PO2,"Job analysis: Identify, formulate, research lit, and analyze complex applied science problems reaching substantiate conclusions using first principles of math, natural sciences, and technology science.",3
CSE21310,CO3,Concept pushdown automata and the tantamount setting free grammars.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23312,CO5,Analyze file and directory structure management along with I/O management issues. Carry out case studies in different contemporary operating systems.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Major Project,CO3,"Leverage advance expert expertness, rule modern engineering tools to carry out experiments and hire in a rigorous data depth psychology process.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE21308,CO4,Study the design of ALU for arithmetic operations and use of registers.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO12,"Life - long learning: Recognize the need for, and stimulate the preparation and ability to wage in independent and living - long learnedness in the broadest circumstance of technological change.",2
CS30144,CO4,"Understand the various techniques to raise a central processing unit ' s ability to tap Pedagogy - storey parallelism (ILP ), and its challenge.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23307,CO2,Understand dissimilar algorithm invention techniques and apply important algorithmic conception paradigms.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to voyage the intricacies of professional employment, nurture collaborationism, honourable conduct, and effective cognition dissemination.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23304,CO3,Analyze and implement diverse searching and sort techniques,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
Major Project,CO4,"Provide engineering solution by conceptualizing and crafting system component surgery physical process while watchfully weighing the implications for public health, safety, general intimately - being, and ethnic, social, and economic aspects.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
IT40138,CO2,Design Fuzzy system use the construct of Fuzzy set possibility.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CS30144,CO2,"Understand pipelining, its fastness advantage and techniques to reduce endangerment.",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill set to pilot the intricacies of professional work, fostering collaboration, honorable conduct, and effective cognition dissemination.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
CSE23304,CO1,Understand the central concepts of various data structure and their usage.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE21303,CO1,Understand canonic conception of OOPs and syntax of Carbon + +.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CI20303,CO1,"Understand AWS core military service, certificate, computer architecture, pricing, and living.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CSE23306,CO2,"Consumption emergency room diagram for database design and write database queries using relational algebra, relational tartar and SQL",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS23317,CO1,Identify different components of machine learning system and analyze the mathematical theories and concepts behind machine learning.,PO6,"The engine driver and lodge: Apply reasoning informed by the contextual knowledge to assess social, health, rubber, legal, and ethnical issuing and the consequent responsibilities relevant to the professional engineering practice.",0
CS23317,CO2,Understand the design and modeling of supervised simple machine learning techniques and equate different learning algorithm establishment methods.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CI20303,CO1,"Understand AWS core group services, security, computer architecture, pricing, and keep.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23305,CO2,Analyze the process of  information transformation while moving through various layers of a computer network,PO2,"Trouble psychoanalysis: Identify, formulate, research lit, and analyze complex engineering problem reaching substantiated conclusions using initiatory principle of maths, instinctive scientific discipline, and engineering sciences.",3
CSE23307,CO5,"Evaluate various classes of cypher problems: Phosphorus, NP, NP Complete and atomic number 93 Hard.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PO10,"Communicating: Communicate effectively on complex engineering activities with the engineering community and with the society at big, such as, being able to comprehend and write effective reports and figure software documentation, make effective presentations, and give and incur vindicated instructions.",2
CI20303,CO4,Develop real world www lotion and deploy on commercial grade cloud.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE21308,CO5,Analyze the organization of secondary store and how wholly the I / O gimmick communicate with CPU and transfer data.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CS23317,CO2,Understand the design and modeling of supervised machine pick up proficiency and equate different learning algorithm validation method acting.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23312,CO4,"Characterize method and chemical mechanism to handle, prevent, avoid and detect deadlock in a system and inspect chief computer storage and virtual memory management strategies.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CI20303,CO1,"Understand AWS core serving, security measure, computer architecture, pricing, and support.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CS23317,CO5,Explore different recent machine proficiency.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO12,"Spirit - long scholarship: Pick out the need for, and let the provision and ability to enlist in self governing and life - long learning in the broadest context of technical variety.",2
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the elaborateness of professional work, nurture collaboration, ethical conduct, and effectual cognition dissemination.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,2
Major Project,CO1,"Perform a comprehensive background analysis focusing on specific technical facet. Later, craft a clear and well - limit project object that aligns with the insight gained from this thoroughgoing investigating.",PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23306,CO2,"Use ER diagram for database design and write database queries using relational algebra, relational calculus and SQL",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resourcefulness, and modern engineering and information technology tools, include prevision and sit to complex engineering activities, with an understanding of the limitation.",2
CSE23307,CO3,Implement different graph algorithms and analyze their time complexity.,PO5,"Modern tool usage: Create, select, and put on appropriate techniques, resource, and modernistic engine room and information technology tools, including foretelling and modeling to complex engineering activity, with an understanding of the limitations.",0
CSE23306,CO5,Apply recovery strategies for transactions and utilize database storage and access strategies,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23312,CO5,Analyze file and directory structure management along with I/O management issues. Carry out case studies in different contemporary operating systems.,PO2,"Trouble analysis: Identify, formulate, inquiry lit, and analyze complex engineering problem hand substantiated close use first principles of mathematics, natural sciences, and engineering skill.",3
CS30144,CO4,"Understand the various technique to enhance a processor ' s power to exploit Pedagogy - level correspondence (ILP ), and its challenge.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
CSE23320,CO1,"Understanding of IoT fundamentals, Architecture conception and conception.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23320,CO5,System design methodological analysis conception.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23305,CO1,Understand different types of models used for  Data communication in a computer network,PO1,"Engineering knowledge: Utilise the knowledge of maths, scientific discipline, engineering science fundamental frequency, and an engine room specialization for the resolution of complex engineering problem.",3
CSE21303,CO5,Design and execution of unlike design patterns using Java.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CS42175,CO1,Interpreting the fundamental technology of mobile technology and its enhancement.,PO8,Ethics: Apply ethical principle and commit to professional moral principle and responsibilities and norms of the engineering praxis.,3
CSE23450,CO5,Explore resourcefulness management in swarm and overview of big data reckon environment.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",1
Major Project,CO3,"Leverage advanced technical expertness, harnessing modern engineering tools to carry proscribed experiments and betroth in a rigorous data analysis operation.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PO4,"Conduct investigations of complex problems: Use research - establish cognition and including design of experiment, psychoanalysis and interpretation of data, and synthetic thinking of the data to provide valid conclusions.",0
CSE21303,CO2,"Develop form, method, and Object statement to write C + + computer programme.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",2
CS23317,CO1,Identify different components of machine learning system and analyze the mathematical theories and concepts behind machine learning.,PO2,"Trouble analysis: Identify, formulate, research literature, and analyze complex engineering problems attain sustain conclusions using initiative principle of mathematics, natural skill, and engineering science science.",3
CSE23306,CO4,Evaluate Transaction direction system and implement concurrence control mechanisms,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CS42175,CO5,"Attributing and Organizing activity, physical process and services of reality of applications.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23316,CO4,Perform data analytics with Hadoop Eco System.,PO4,"Behavior investigations of complex problems: Use research - based knowledge and including design of experiment, analysis and interpretation of datum, and synthetic thinking of the information to render valid conclusions.",2
CSE23307,CO4,"Learn backtracking, branch bound and string up matching problems by analyzing their time complexness.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23320,CO5,Organisation figure methodology concept.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO12,"Life - longsighted learning: Recognise the need for, and feature the preparation and power to engage in independent and life - long learning in the all inclusive circumstance of technological change.",2
CS42177,CO3,Differentiate among roles of several optimizers and normalization techniques.,PO3,"Design / evolution of solution: Design solutions for complex engineering problems and design system ingredient or processes that meet the delimitate needs with appropriate consideration for public wellness and safety, and ethnic, social, and environmental considerations.",3
Major Project,CO3,"Purchase advanced proficient expertness, harnessing modern technology tools to carry out experiments and engage in a rigorous information psychoanalysis process.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO12,"Sprightliness - long acquisition: Recognise the need for, and experience the preparation and ability to engage in independent and life - prospicient learning in the broadest context of technological alteration.",2
CSE23306,CO3,Analyze functional dependencies and normalize the database schema,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Major Project,CO4,"Provide engineering solutions by conceptualize and craft system components or unconscious process while vigilantly matter the implications for public health, safety, general well - being, and cultural, social, and economical scene.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
CSE21310,CO3,Construct pushdown zombie and the tantamount context free grammars.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CSE23306,CO4,Evaluate Transaction management system and implement concurrency control mechanisms,PO10,"Communication: Communicate efficaciously on complex engineering activities with the engineering residential area and with the smart set at large, such as, being able to comprehend and write effective reputation and design documentation, make effective presentations, and afford and receive clear cut instruction.",0
CSE23305,CO4,Pass judgment the mechanisms to check and continue the integrity and reliability of datum during transmission in a calculator network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23309,CO1,"Identify classes, methods, and library of object - oriented programming using Coffee.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO5,"New tool usage: Create, select, and apply appropriate techniques, resource, and innovative engineering and IT tool, include prediction and pose to complex engineering activeness, with an understanding of the limitations.",1
CSE23305,CO1,Understand different eccentric of good example used for Data communication in a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS23317,CO3,Learn and implement unsupervised machine erudition model and their applications.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO12,"Life time - long learning: Spot the need for, and have got the preparation and power to engage in independent and life - foresightful learning in the panoptic context of technical change.",2
CSE23304,CO2,"Solve problems using data structures such as linear inclination, piles, queues, trees, and graph and write programs for these solutions.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23316,CO4,Perform data analytics with Hadoop Eco System.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO4,"Conduct investigation of complex problems: Use research - based noesis and including design of experimentation, psychoanalysis and rendition of data, and synthesis of the information to allow for valid close.",2
CSE23304,CO4,Implement linear and non - additive data construction.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO10,"Communicating: Communicate effectively on complex engine room activities with the engineering community of interests and with the order at large, such as, being capable to comprehend and write efficacious reports and design documentation, make effective presentations, and break and receive clear instructions.",3
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PSO4,Power to use knowledge of honourable and management rule required to work in a team as comfortably as to head a team.,1
CSE23305,CO5,Identify and implement different types of application in application layer.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE21310,CO1,Describe various theoretic models for recognizing formal languages.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO5,Identify and implement different types of application in application layer.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE21310,CO3,Conception pushdown zombie and the equivalent context gratuitous grammars.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE21308,CO1,"Identify and analyze the basic structures of a computer hardware units, connectivity and software. Design the basic structure of machine instruction and programs, memory location.",PO1,"Engineering cognition: Use the knowledge of maths, science, engineering fundamentals, and an engineering science specialization for the root of complex technology problems.",3
CSE21310,CO4,Construct Turing Machine and study various decidable and undecidable problems.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CSE23305,CO1,Understand different eccentric of models practice for Data communicating in a computer network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE21303,CO2,"Develop grade, method acting, and Objective instruction to write C + + program.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",3
CS42175,CO1,Interpreting the fundamental technology of mobile technology and its enhancement.,PSO1,"The ability to understand, analyze and develop computer programs in the area of data processor skill and to work out reckoner software system and hardware related engineering job.",3
Major Project,CO5,"Demonstrate quickness and empower multifaceted skill sets to voyage the elaborateness of professional work, foster collaborationism, honourable doings, and in effect knowledge dissemination.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23316,CO5,Analyze Big Datum in real life history problem.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23450,CO2,To define an information technology Infrastructure and account it components.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Major Project,CO3,"Leverage advanced expert expertness, harnessing modern engineering science tools to carry taboo experiments and engage in a tight data analysis outgrowth.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23306,CO2,"Use ER diagram for database design and write database queries using relational algebra, relational calculus and SQL",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23450,CO3,To identify the need for Data Center Virtualization.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23320,CO5,System design methodology concept.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23450,CO1,To understand the concepts of Networking and Swarm Calculation.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Major Project,CO5,"Demonstrate deftness and empower multifaceted skill sets to sail the intricacies of professional oeuvre, fostering collaboration, ethical conduct, and effective noesis dissemination.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
CI40136,CO3,Carry out Analysis and Design activities using Object oriented modelling techniques.,PSO2,The ability to develop software system to allow convenient use of computing systems and possess professional skills and cognition of software program aim processes.,3
CSE23307,CO4,"Learn backtracking, branch bound and string matching problems by analyzing their time complexity.",PSO1,"The power to understand, analyze and develop information processing system programs in the area of information processing system science and to figure out computer software and computer hardware related to engine room problems.",3
CSE21308,CO1,"Identify and analyze the basic structures of a computer hardware units, connectivity and software. Design the basic structure of machine instruction and programs, memory location.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23305,CO4,Evaluate the mechanisms to check and preserve the integrity and reliability of data during transmission in a computer network,PSO3,The ability to gain knowledge in divers areas of computer science and apply for successful life history entrepreneurship and high bailiwick.,1
CSE23305,CO2,Analyze the physical process of information transformation while moving through diverse layer of a computer electronic network,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CSE23306,CO2,"Use ER diagram for database design and write database queries using relational algebra, relational calculus and SQL",PO3,"Design / developing of result: Design solutions for complex engineering problems and design organisation components or processes that meet the determine needs with appropriate thoughtfulness for public wellness and guard, and cultural, social, and environmental consideration.",2
Major Project,CO4,"Provide engineering resolution by conceptualizing and crafting system constituent operating theater processes while vigilantly press the implications for public wellness, safety, oecumenical easily - live, and cultural, social, and economic aspects.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO10,"Communicating: Communicate effectively on complex applied science activities with the technology community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clean program line.",0
CI20303,CO1,"Understand AWS core service, security, computer architecture, pricing, and support.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
CSE23305,CO5,Identify and implement different types of application in application layer.,PSO3,The ability to gain noesis in divers area of estimator scientific discipline and apply for successful career entrepreneurship and higher studies.,0
CSE21303,CO4,"Analyze and design Coffee program using ripe feature such as AWT, Applet, Swing, and Socket.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE21303,CO3,Analyse the concepts of Inherency to puzzle out real time problem.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CI20303,CO2,Adapt different types of virtualization and increase resource utilization.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23450,CO3,To identify the need for Data Center Virtualization.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
